title,audience_score,type,genre,runtime,year,mpaa_rating,imdb_num_votes,critics_score,critics_rating,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,audience_rating,director,actor1,actor2,actor3,actor4,actor5,rt_url,imdb_url,imdb_id
The Wraith,60,Feature Film,Action & Adventure,93,1986,PG-13,7390,27,Rotten,no,no,no,no,no,no,Upright,Mike Marvin,Charlie Sheen,Nick Cassavetes,Randy Quaid,Sherilyn Fenn,Griffin O'Neal,http://www.rottentomatoes.com/m/wraith/,http://www.imdb.com/title/tt0092240/,92240
The Social Network,85,Feature Film,Drama,120,2010,PG-13,314480,96,Certified Fresh,yes,no,no,no,no,no,Upright,David Fincher,Jesse Eisenberg,Justin Timberlake,Andrew Garfield,Armie Hammer,Max Minghella,http://www.rottentomatoes.com/m/the-social-network/,http://www.imdb.com/title/tt1285016/,1285016
The Godfather: Part III,77,Feature Film,Drama,162,1990,R,180731,68,Fresh,yes,no,yes,yes,yes,no,Upright,Francis Ford Coppola,Al Pacino,Diane Keaton,Talia Shire,Andy Garcia,Eli Wallach,http://www.rottentomatoes.com/m/godfather_part_iii/,http://www.imdb.com/title/tt0099674/,99674
Prince of Persia: The Sands of Time,62,Feature Film,Action & Adventure,116,2010,PG-13,156681,35,Rotten,no,no,yes,no,no,no,Upright,Mike Newell,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,Alfred Molina,Steve Toussaint,http://www.rottentomatoes.com/m/prince_of_persia_sands_of_time/,http://www.imdb.com/title/tt0473075/,473075
Whoever Slew Auntie Roo?,56,Feature Film,Horror,91,1972,PG,670,57,Rotten,no,no,no,no,no,no,Spilled,Curtis Harrington,Shelley Winters,Mark Lester,Ralph Richardson,Richard Beaumont,Judy Cornwell,http://www.rottentomatoes.com/m/who_slew_auntie_roo/,http://www.imdb.com/title/tt0067983/,67983
Falling Down,79,Feature Film,Drama,113,1993,R,104860,73,Certified Fresh,no,no,yes,no,no,no,Upright,Joel Schumacher,Michael Douglas,Robert Duvall,Barbara Hershey,Rachel Ticotin,Tuesday Weld,http://www.rottentomatoes.com/m/falling_down/,http://www.imdb.com/title/tt0106856/,106856
Six Degrees of Separation,66,Feature Film,Drama,112,1993,R,13812,88,Fresh,no,no,no,no,no,no,Upright,Fred Schepisi,Stockard Channing,Will Smith,Donald Sutherland,Ian McKellen,Mary Beth Hurt,http://www.rottentomatoes.com/m/six_degrees_of_separation/,http://www.imdb.com/title/tt0108149/,108149
Malcolm X,89,Feature Film,Drama,202,1992,PG-13,47605,91,Certified Fresh,no,no,yes,no,no,no,Upright,Spike Lee,Denzel Washington,Spike Lee,Angela Bassett,Al Freeman Jr.,Delroy Lindo,http://www.rottentomatoes.com/m/1042135-malcolm_x/,http://www.imdb.com/title/tt0104797/,104797
Something's Gotta Give,67,Feature Film,Comedy,128,2003,PG-13,70990,71,Fresh,no,no,yes,yes,no,no,Upright,Nancy Meyers,Jack Nicholson,Diane Keaton,Keanu Reeves,Frances McDormand,Amanda Peet,http://www.rottentomatoes.com/m/somethings_gotta_give/,http://www.imdb.com/title/tt0337741/,337741
Excalibur,73,Feature Film,Action & Adventure,140,1981,R,38202,82,Fresh,no,no,no,yes,no,no,Upright,John Boorman,Nigel Terry,Nicol Williamson,Nicholas Clay,Helen Mirren,Cherie Lunghi,http://www.rottentomatoes.com/m/excalibur/,http://www.imdb.com/title/tt0082348/,82348
The Mangler,23,Feature Film,Horror,106,1995,R,5464,22,Rotten,no,no,no,no,no,no,Spilled,Tobe Hooper,Norman Coombes (II),Ashley Hayden,Todd Jensen,Danny Keogh,Ted Le Platt,http://www.rottentomatoes.com/m/mangler/,http://www.imdb.com/title/tt0113762/,113762
Wish You Were Here,74,Feature Film,Drama,92,1987,R,1626,82,Fresh,no,no,no,no,no,no,Upright,David Leland,Emily Lloyd,Tom Bell,Clare Clifford,Barbara Durkin,Geoffrey Hutchings,http://www.rottentomatoes.com/m/wish_you_were_here/,http://www.imdb.com/title/tt0094331/,94331
The Caller,41,Feature Film,Mystery & Suspense,92,2011,R,5767,29,Rotten,no,no,no,no,no,no,Spilled,Matthew Parkhill,Rachelle Lefevre,Stephen Moyer,Lorna Raver,Ed Quinn,Luis Guzman,http://www.rottentomatoes.com/m/771249592/,http://www.imdb.com/title/tt1525890/,1525890
Peggy Sue Got Married,48,Feature Film,Drama,103,1986,PG-13,21948,85,Fresh,no,no,yes,no,yes,no,Spilled,Francis Ford Coppola,Kathleen Turner,Nicolas Cage,Barry Miller,Catherine Hicks,Joan Allen,http://www.rottentomatoes.com/m/peggy_sue_got_married/,http://www.imdb.com/title/tt0091738/,91738
Scandal,47,Feature Film,Other,115,1989,R,3051,91,Fresh,no,no,no,no,no,no,Spilled,Michael Caton-Jones,John Hurt,Joanne Whalley,Bridget Fonda,Ian McKellen,Leslie Phillips,http://www.rottentomatoes.com/m/1018310-scandal/,http://www.imdb.com/title/tt0098260/,98260
Time After Time,68,Feature Film,Drama,112,1979,PG,8784,86,Fresh,no,no,no,no,no,no,Upright,Nicholas Meyer,Malcolm McDowell,David Warner,Mary Steenburgen,Charles Cioffi,Patti D'Arbanville,http://www.rottentomatoes.com/m/time_after_time/,http://www.imdb.com/title/tt0080025/,80025
The Butterfly Effect,78,Feature Film,Drama,113,2004,R,252419,33,Rotten,no,no,no,no,no,no,Upright,Eric Bress,Ashton Kutcher,Amy Smart,William Lee Scott,Elden Henson,Melora Walters,http://www.rottentomatoes.com/m/butterfly_effect/,http://www.imdb.com/title/tt0289879/,289879
The Sisterhood of the Traveling Pants,76,Feature Film,Drama,119,2005,PG,34239,77,Certified Fresh,no,no,no,no,no,no,Upright,Ken Kwapis,Amber Tamblyn,Alexis Bledel,America Ferrera,Blake Lively,Jenna Boyd,http://www.rottentomatoes.com/m/sisterhood_of_the_traveling_pants/,http://www.imdb.com/title/tt0403508/,403508
And God Created Woman,28,Feature Film,Drama,100,1988,R,1250,38,Rotten,no,no,no,no,no,no,Spilled,Richard Vadim,Rebecca De Mornay,Vincent Spano,Frank Langella,Donovan Leitch,Judith Chapman,http://www.rottentomatoes.com/m/1000915-and_god_created_woman/,http://www.imdb.com/title/tt0092559/,92559
G.I. Jane,55,Feature Film,Drama,125,1997,R,48509,55,Rotten,no,no,no,yes,no,no,Spilled,Ridley Scott,Demi Moore,Viggo Mortensen,Anne Bancroft,Jason Beghe,Scott Wilson,http://www.rottentomatoes.com/m/gi_jane/,http://www.imdb.com/title/tt0119173/,119173
Spun,72,Feature Film,Drama,101,2002,R,27347,37,Rotten,no,no,no,no,no,no,Upright,Jonas Akerlund,Jason Schwartzman,John Leguizamo,Mena Suvari,Patrick Fugit,Brittany Murphy,http://www.rottentomatoes.com/m/spun/,http://www.imdb.com/title/tt0283003/,283003
Wind,70,Feature Film,Drama,126,1992,PG-13,1739,55,Rotten,no,no,no,no,no,no,Upright,Carroll Ballard,Matthew Modine,Jennifer Grey,Stellan Skarsgard,Rebecca Miller,Ned Vaughn,http://www.rottentomatoes.com/m/1040484-wind/,http://www.imdb.com/title/tt0105824/,105824
A Chorus Line,62,Feature Film,Drama,113,1985,PG-13,6208,38,Rotten,no,no,yes,no,yes,no,Upright,Richard Attenborough,Michael Douglas,Terrence Mann,Alyson Reed,Cameron English,Vicki Frederick,http://www.rottentomatoes.com/m/chorus_line/,http://www.imdb.com/title/tt0088915/,88915
Larry Crowne,42,Feature Film,Drama,98,2011,PG-13,34836,35,Rotten,no,no,yes,yes,no,no,Spilled,Tom Hanks,Tom Hanks,Julia Roberts,Bryan Cranston,Cedric the Entertainer,Taraji P. Henson,http://www.rottentomatoes.com/m/larry_crowne/,http://www.imdb.com/title/tt1583420/,1583420
Norma Jean & Marilyn,47,TV Movie,Drama,139,1996,R,1988,60,Fresh,no,no,no,no,no,no,Spilled,Tim Fywell,John Apicella,Robert Alan Beuth,Frank Birney,Earl Boen,Kevin Bourland,http://www.rottentomatoes.com/m/norma_jean_and_marilyn/,http://www.imdb.com/title/tt0117201/,117201
Crime + Punishment in Suburbia,59,Feature Film,Other,100,2000,R,2445,21,Rotten,no,no,no,no,no,no,Spilled,Rob Schmidt,Monica Keena,Vincent Kartheiser,Ellen Barkin,Jeffrey Wright,James DeBello,http://www.rottentomatoes.com/m/crime_and_punishment_in_suburbia/,http://www.imdb.com/title/tt0197384/,197384
Up in the Air,76,Feature Film,Drama,109,2009,R,203650,90,Certified Fresh,yes,no,no,no,no,no,Upright,Jason Reitman,George Clooney,Vera Farmiga,Anna Kendrick,Jason Bateman,Danny McBride,http://www.rottentomatoes.com/m/up_in_the_air_2009/,http://www.imdb.com/title/tt1193138/,1193138
Boiling Point,29,Feature Film,Drama,92,1993,R,3874,20,Rotten,no,no,no,no,no,no,Spilled,James B. Harris,Wesley Snipes,Dennis Hopper,Lolita Davidovich,Viggo Mortensen,Dan Hedaya,http://www.rottentomatoes.com/m/1042466-boiling_point/,http://www.imdb.com/title/tt0106455/,106455
Primal,29,Feature Film,Horror,80,2010,Unrated,4026,75,Fresh,no,no,no,no,no,no,Spilled,Josh Reed,Zoe Tuckwell-Smith,Krew Boylan,Linsday Farris,Rebekah Foord,Damien Freeleagus,http://www.rottentomatoes.com/m/primal_2010/,http://www.imdb.com/title/tt1438534/,1438534
George Washington,84,Feature Film,Other,89,2000,Unrated,4507,83,Certified Fresh,no,no,no,no,no,no,Upright,David Gordon Green,Candace Evanofski,Donald Holden,Paul Schneider,Curtis Cotton III,Rachel Handy,http://www.rottentomatoes.com/m/1097991-george_washington/,http://www.imdb.com/title/tt0262432/,262432
Conspiracy Theory,63,Feature Film,Drama,135,1997,R,56983,52,Rotten,no,no,no,yes,no,no,Upright,Richard Donner,Mel Gibson,Julia Roberts,Patrick Stewart,Cylk Cozart,Stephen Kahan,http://www.rottentomatoes.com/m/conspiracy_theory/,http://www.imdb.com/title/tt0118883/,118883
The Twilight Saga: New Moon,65,Feature Film,Horror,130,2009,PG-13,172248,27,Rotten,no,no,no,no,no,yes,Upright,Chris Weitz,Kristen Stewart,Robert Pattinson,Taylor Lautner,Ashley Greene,Rachelle Lefevre,http://www.rottentomatoes.com/m/twilight_saga_new_moon/,http://www.imdb.com/title/tt1259571/,1259571
Wishmaster,47,Feature Film,Drama,90,1997,R,11989,21,Rotten,no,no,no,no,no,no,Spilled,Robert Kurtzman,Tammy Lauren,Andrew Divoff,Robert Englund,Tony Todd,Wendy Benson,http://www.rottentomatoes.com/m/wishmaster/,http://www.imdb.com/title/tt0120524/,120524
The Dead,77,Feature Film,Other,83,1987,PG,4285,92,Fresh,no,no,no,no,yes,no,Upright,John Huston,Anjelica Huston,Donal McCann,Rachel Dowling,Cathleen Delaney,Helena Carroll,http://www.rottentomatoes.com/m/the-dead/,http://www.imdb.com/title/tt0092843/,92843
10 Rillington Place,86,Feature Film,Mystery & Suspense,111,1971,PG,3793,67,Fresh,no,no,no,no,no,no,Upright,Richard Fleischer,Richard Attenborough,Judy Geeson,John Hurt,Pat Heywood,Isobel Black,http://www.rottentomatoes.com/m/10_rillington_place/,http://www.imdb.com/title/tt0066730/,66730
The Last Legion,38,Feature Film,Drama,102,2007,PG-13,22627,16,Rotten,no,no,yes,no,no,no,Spilled,Doug Lefler,Colin Firth,Ben Kingsley,Aishwarya Rai,Peter Mullan,Kevin Mckidd,http://www.rottentomatoes.com/m/last_legion/,http://www.imdb.com/title/tt0462396/,462396
Henry's Crime,23,Feature Film,Comedy,108,2010,R,12105,40,Rotten,no,no,no,no,no,no,Spilled,Malcolm Venville,Keanu Reeves,Vera Farmiga,James Caan,Peter Stormare,Bill Duke,http://www.rottentomatoes.com/m/henrys_crime_2010/,http://www.imdb.com/title/tt1220888/,1220888
High School,50,Feature Film,Comedy,99,2010,R,4458,27,Rotten,no,no,yes,no,no,no,Spilled,John Stalberg,Adrien Brody,Matt Bush,Sean Marquette,Colin Hanks,Michael Chiklis,http://www.rottentomatoes.com/m/10012150-high_school/,http://www.imdb.com/title/tt1247667/,1247667
Dinner Rush,80,Feature Film,Drama,99,2000,R,3881,91,Certified Fresh,no,no,no,no,no,no,Upright,Bob Giraldi,Danny Aiello,Edoardo Ballerini,Vivian Wu,Mike McGlone,Kirk Acevedo,http://www.rottentomatoes.com/m/dinner_rush/,http://www.imdb.com/title/tt0229340/,229340
The Last Shot,28,Feature Film,Drama,93,2004,R,3422,61,Fresh,no,no,no,no,no,no,Spilled,Jeff Nathanson,Matthew Broderick,Alec Baldwin,Toni Collette,Tony Shalhoub,Calista Flockhart,http://www.rottentomatoes.com/m/last_shot/,http://www.imdb.com/title/tt0357054/,357054
Madagascar,68,Feature Film,Other,86,2005,PG,168324,55,Rotten,no,no,no,no,no,no,Upright,Conrad Vernon,Ben Stiller,Chris Rock,David Schwimmer,Jada Pinkett Smith,Sacha Baron Cohen,http://www.rottentomatoes.com/m/madagascar/,http://www.imdb.com/title/tt0351283/,351283
Caged Heat,35,Feature Film,Drama,83,1974,R,1199,82,Fresh,no,no,no,no,yes,no,Spilled,Jonathan Demme,John Aprea,Carmen Argenziano,Amy Barrett,Gene Borkan,Juanita Brown,http://www.rottentomatoes.com/m/caged_heat/,http://www.imdb.com/title/tt0071266/,71266
An Unfinished Life,64,Feature Film,Drama,108,2005,PG-13,18700,53,Rotten,no,no,no,no,no,no,Upright,Lasse Hallstrom,Robert Redford,Jennifer Lopez,Morgan Freeman,Becca Gardner,Damian Lewis,http://www.rottentomatoes.com/m/unfinished_life/,http://www.imdb.com/title/tt0350261/,350261
Man on the Moon,74,Feature Film,Drama,118,1999,R,81124,63,Fresh,no,no,no,no,no,no,Upright,Milos Forman,Jim Carrey,Danny DeVito,Courtney Love,Paul Giamatti,Tony Clifton,http://www.rottentomatoes.com/m/1093579-man_on_the_moon/,http://www.imdb.com/title/tt0125664/,125664
House on Haunted Hill,48,Feature Film,Mystery & Suspense,93,1999,R,37579,27,Rotten,no,no,yes,no,no,no,Spilled,William Malone,Geoffrey Rush,Famke Janssen,Taye Diggs,Peter Gallagher,Chris Kattan,http://www.rottentomatoes.com/m/1093881-house_on_haunted_hill/,http://www.imdb.com/title/tt0185371/,185371
127 Hours,84,Feature Film,Drama,94,2010,R,195362,93,Certified Fresh,yes,no,no,no,yes,no,Upright,Danny Boyle,James Franco,Amber Tamblyn,Kate Mara,Clemence Poesy,Kate Burton,http://www.rottentomatoes.com/m/127_hours/,http://www.imdb.com/title/tt1542344/,1542344
What Just Happened,23,Feature Film,Drama,104,2008,R,20627,51,Rotten,no,no,yes,no,yes,no,Spilled,Barry Levinson,Robert De Niro,Catherine Keener,Sean Penn,John Turturro,Robin Wright,http://www.rottentomatoes.com/m/what_just_happened/,http://www.imdb.com/title/tt0486674/,486674
Imagine Me & You,67,Feature Film,Comedy,94,2005,R,16968,32,Rotten,no,no,no,no,no,no,Upright,Ol Parker,Piper Perabo,Lena Headey,Matthew Goode,Celia Imrie,Anthony Head,http://www.rottentomatoes.com/m/imagine_me_and_you/,http://www.imdb.com/title/tt0421994/,421994
Gamer,42,Feature Film,Action & Adventure,95,2009,R,86151,29,Rotten,no,no,no,no,no,no,Spilled,Mark Neveldine,Gerard Butler,Amber Valletta,Michael C. Hall,Kyra Sedgwick,Logan Lerman,http://www.rottentomatoes.com/m/gamer/,http://www.imdb.com/title/tt1034032/,1034032
Off Limits,32,Feature Film,Drama,102,1988,R,1694,50,Rotten,no,no,no,no,no,no,Spilled,Christopher Crowe,Willem Dafoe,Gregory Hines,Fred Ward,Amanda Pays,Kay Tong Lim,http://www.rottentomatoes.com/m/off_limits/,http://www.imdb.com/title/tt0095774/,95774
Trailer Park Boys: The Movie,77,Feature Film,Comedy,95,2006,R,7689,57,Rotten,no,no,no,no,no,no,Upright,Mike Clattenburg,Robb Wells,John Paul Tremblay,Mike Smith,John Dunsworth,Patrick Roach,http://www.rottentomatoes.com/m/trailer-park-boys-the-big-dirty/,http://www.imdb.com/title/tt0425601/,425601
The Last Days of Disco,59,Feature Film,Drama,113,1998,R,7938,71,Fresh,no,no,no,no,no,no,Spilled,Whit Stillman,Chloe Sevigny,Kate Beckinsale,Christopher Eigeman,Matt Keeslar,Mackenzie Astin,http://www.rottentomatoes.com/m/last_days_of_disco/,http://www.imdb.com/title/tt0120728/,120728
Death on the Nile,71,Feature Film,Mystery & Suspense,140,1978,PG,14481,80,Fresh,no,no,yes,yes,no,no,Upright,John Guillermin,Peter Ustinov,Jane Birkin,Lois Chiles,David Niven,Bette Davis,http://www.rottentomatoes.com/m/death_on_the_nile/,http://www.imdb.com/title/tt0077413/,77413
Orphan,63,Feature Film,Drama,123,2009,R,93240,55,Rotten,no,no,no,no,no,no,Upright,Jaume Collet-Serra,Peter Sarsgaard,Vera Farmiga,Isabelle Fuhrman,CCH Pounder,Jimmy Bennett,http://www.rottentomatoes.com/m/10010658-orphan/,http://www.imdb.com/title/tt1148204/,1148204
Itty Bitty Titty Committee,54,Feature Film,Other,87,2007,Unrated,1971,38,Rotten,no,no,no,no,no,no,Spilled,Jamie Babbit,Melonie Diaz,Nicole Vicius,Daniela Sea,Carly Pope,Guinevere Turner,http://www.rottentomatoes.com/m/1187621-itty_bitty_titty_committee/,http://www.imdb.com/title/tt0496328/,496328
One False Move,68,Feature Film,Drama,105,1992,R,5744,98,Certified Fresh,no,no,no,no,no,no,Upright,Carl Franklin,Bill Paxton,Cynda Williams,Jim Metzler,Billy Bob Thornton,Michael Beach,http://www.rottentomatoes.com/m/one_false_move/,http://www.imdb.com/title/tt0102592/,102592
The Two Jakes,36,Feature Film,Drama,137,1990,R,6885,65,Fresh,no,no,yes,no,no,no,Spilled,Jack Nicholson,Jack Nicholson,Harvey Keitel,Meg Tilly,Madeleine Stowe,Eli Wallach,http://www.rottentomatoes.com/m/two_jakes/,http://www.imdb.com/title/tt0100828/,100828
The Landlord,73,Feature Film,Comedy,112,1970,PG,1184,92,Fresh,no,no,no,no,no,no,Upright,Hal Ashby,Beau Bridges,Lee Grant,Diana Sands,Marki Bey,Pearl Bailey,http://www.rottentomatoes.com/m/landlord/,http://www.imdb.com/title/tt0065963/,65963
Taken 2,54,Feature Film,Mystery & Suspense,92,2012,PG-13,133090,21,Rotten,no,no,no,no,no,no,Spilled,Olivier Megaton,Liam Neeson,Maggie Grace,Famke Janssen,Rade Sherbedgia,Luke Grimes,http://www.rottentomatoes.com/m/taken_2_2012/,http://www.imdb.com/title/tt1397280/,1397280
Howling II: ... Your Sister Is a Werewolf,25,Feature Film,Other,91,1985,R,3672,14,Rotten,no,no,no,no,no,no,Spilled,Philippe Mora,Christopher Lee,Annie McEnroe,Reb Brown,Marsha Hunt,Sybil Danning,http://www.rottentomatoes.com/m/howling_ii/,http://www.imdb.com/title/tt0089308/,89308
The Monster Squad,74,Feature Film,Action & Adventure,82,1987,PG-13,13471,53,Rotten,no,no,no,no,no,no,Upright,Fred Dekker,Andre Gower,Robby Kiger,Stephen Macht,Duncan Regehr,Tom Noonan,http://www.rottentomatoes.com/m/monster_squad/,http://www.imdb.com/title/tt0093560/,93560
The Matrix Revolutions,66,Feature Film,Mystery & Suspense,129,2003,R,271104,36,Rotten,no,no,no,no,no,no,Upright,Larry Wachowski,Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,Hugo Weaving,Jada Pinkett Smith,http://www.rottentomatoes.com/m/matrix_revolutions/,http://www.imdb.com/title/tt0242653/,242653
BloodRayne,30,Feature Film,Action & Adventure,95,2005,R,27401,4,Rotten,no,no,yes,no,no,no,Spilled,Uwe Boll,Kristanna Loken,Michelle Rodriguez,Ben Kingsley,Michael Madsen,Matthew Davis,http://www.rottentomatoes.com/m/bloodrayne/,http://www.imdb.com/title/tt0383222/,383222
Parents,49,Feature Film,Drama,81,1989,R,3394,45,Rotten,no,no,no,no,no,no,Spilled,Bob Balaban,Randy Quaid,Mary Beth Hurt,Sandy Dennis,Bryan Madorsky,Juno Mills-Cockell,http://www.rottentomatoes.com/m/parents/,http://www.imdb.com/title/tt0098068/,98068
The Devil's Double,65,Feature Film,Drama,109,2011,R,39271,52,Rotten,no,no,no,no,no,no,Upright,Lee Tamahori,Dominic Cooper,Ludivine Sagnier,Raad Rawi,Philip Quast,Mimoun Oaissa,http://www.rottentomatoes.com/m/the_devils_double/,http://www.imdb.com/title/tt1270262/,1270262
The Stunt Man,74,Feature Film,Drama,131,1980,R,5717,92,Fresh,no,no,no,no,no,no,Upright,Richard Rush,Peter O'Toole,Steve Railsback,Barbara Hershey,Allen Garfield,Alex Rocco,http://www.rottentomatoes.com/m/stunt_man/,http://www.imdb.com/title/tt0081568/,81568
Me and Orson Welles,59,Feature Film,Drama,114,2008,PG-13,6990,85,Certified Fresh,no,no,no,no,no,no,Spilled,Richard Linklater,Zac Efron,Claire Danes,Christian McKay,Zoe Kazan,James Tupper,http://www.rottentomatoes.com/m/1203732-me_and_orson_welles/,http://www.imdb.com/title/tt1175506/,1175506
Equinox,28,Feature Film,Action & Adventure,80,1970,PG,1731,33,Rotten,no,no,no,no,no,no,Spilled,Jack Woods,Edward Connell,Barbara Hewitt,Frank Boers Jr,Robin Christopher,Jack Woods,http://www.rottentomatoes.com/m/1006676-equinox/,http://www.imdb.com/title/tt0067055/,67055
"Distant Voices, Still Lives",86,Feature Film,Drama,85,1988,PG-13,1814,88,Fresh,no,no,no,no,no,no,Upright,Terence Davies,Freda Dowie,Pete Postlethwaite,Angela Walsh,Dean Williams,Lorraine Ashbourne,http://www.rottentomatoes.com/m/distant_voices_still_lives/,http://www.imdb.com/title/tt0095037/,95037
Unfaithfully Yours,45,Feature Film,Comedy,96,1984,PG,1646,20,Rotten,no,no,no,no,no,no,Spilled,Howard Zieff,Dudley Moore,Nastassja Kinski,Armand Assante,Albert Brooks,Cassie Yates,http://www.rottentomatoes.com/m/1022370-unfaithfully_yours/,http://www.imdb.com/title/tt0088326/,88326
Ironclad,44,Feature Film,Action & Adventure,121,2011,R,25122,43,Rotten,no,no,no,no,no,no,Spilled,Jonathan English,James Purefoy,Brian Cox,Kate Mara,Derek Jacobi,Paul Giamatti,http://www.rottentomatoes.com/m/ironclad/,http://www.imdb.com/title/tt1233301/,1233301
